id,product_name
1,Apple iPhone 4
2,Apple iPhone 4S
3,Apple iPhone 5
4,Apple iPhone 5C
5,Apple iPhone 5S
6,Apple iPhone 6
7,Apple iPhone 6 Plus
8,Asus Zenfone 5 A501CG
9,Asus Zenfone 6 A600CG / A601CG
10,BlackBerry Bold 9900
11,BlackBerry Curve 3G 9300
12,Blackberry Curve 9320
13,BlackBerry Curve 9360
14,BlackBerry Passport
15,BlackBerry Q10
16,BlackBerry Q5
17,BlackBerry Torch 9810
18,BlackBerry Torch 9860
19,BlackBerry Z10
20,BlackBerry Z30
21,Google Nexus 4
22,Google Nexus 5
23,Google Nexus 6
24,HTC One 802d
25,HTC One M8
26,HTC ONE X S720E
27,Huawei Ascend P6
28,Huawei Ascend P7
29,Huawei Honor 3C
30,Lenovo A850
31,Lenovo S930
32,LG G-Flex
33,LG G2
34,LG G2 D802T
35,LG G3 D855
36,LG Optimus G E975
37,LG Optimus L7 II P715
38,Microsoft Lumia 535
39,Moto G 2nd Gen
40,Moto X
41,Nokia Lumia 1020
42,Nokia Lumia 1320
43,Nokia Lumia 520
44,Nokia Lumia 620
45,Nokia Lumia 920
46,Samsung Galaxy Ace S5830i
47,Samsung Galaxy Alpha
48,Samsung Galaxy Grand Duos I9082
49,Samsung Galaxy Mega 5.8 I9152
50,Samsung Galaxy Mega 6.3 I9200
51,Samsung Galaxy Note 2 N7100
52,Samsung Galaxy Note 3 N9000
53,Samsung Galaxy Note 4
54,Samsung Galaxy Note N-7000
55,Samsung Galaxy S 2 I9100
56,Samsung Galaxy S Duos S7562
57,Samsung Galaxy S3
58,Samsung Galaxy S4 I9500
59,Samsung Galaxy S4 Mini I9192
60,Samsung Galaxy S5
61,Samsung Galaxy S5 Mini
62,Samsung Galaxy Star Pro S7262
63,Samsung Grand Prime
64,Sony Xperia E1
65,Sony Xperia E3
66,Sony Xperia Ion
67,Sony Xperia M
68,Sony Xperia T2 Ultra
69,Sony Xperia Tipo Dual
70,Sony Xperia U
71,Sony Xperia Z
72,Sony Xperia Z1
73,Sony Xperia Z1 Compact
74,Sony Xperia Z2
75,Sony Xperia Z3 Compact
76,OnePlus One
77,Samsung Galaxy Note Edge
78,Samsung Galaxy S6
79,Apple iPhone 3G
80,Asus Zenfone 2
81,BlackBerry Classic
82,HTC one M9
83,Lenovo vibe shot
84,LG G3 Beat D722K
85,LG G3 Stylus D690
86,Microsoft Lumia 435
87,Moto G
88,Samsung Galaxy A3
