buysmaart_id,product_name,source_product_name,source_product_url,Mobile_Variants,memory_variants,Color_variants,memory
16,Apple iPhone 5S,apple iphone 5s 16gb silver unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-5s-16gb-silver-unlocked-all-carriers-certified-pre-owned/-/A-51242322&sa=D&ust=1473936289663000&usg=AFQjCNGZvdzVb4h7LXZIbJJOed_nAUT3KA,Unlocked,16 GB,,Silver
16,Apple iPhone 5S,apple iphone 5s 16gb gray unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-5s-16gb-gray-unlocked-all-carriers-certified-pre-owned/-/A-51242320&sa=D&ust=1473936289665000&usg=AFQjCNG_1R6dBpm8FK0cI7H6kabowN5mTw,Unlocked,16 GB,,Gray
16,Apple iPhone 5S,apple iphone 5s 16gb gold unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-5s-16gb-gold-unlocked-all-carriers-certified-pre-owned/-/A-51242317&sa=D&ust=1473936289666000&usg=AFQjCNFft-8OX5cunu0q1Jk42PV79OIXcA,Unlocked,16 GB,,Gold
17,Apple iPhone 6,apple iphone 6 64gb silver unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-64gb-silver-unlocked-all-carriers-certified-pre-owned/-/A-51243041&sa=D&ust=1473936289654000&usg=AFQjCNExv1xz1h0Qg6GJ0MjCQg94m5_G0Q,Unlocked,64 GB,,Silver
17,Apple iPhone 6,apple iphone 6 64gb gray unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-64gb-gray-unlocked-all-carriers-certified-pre-owned/-/A-51243039&sa=D&ust=1473936289656000&usg=AFQjCNGsZOIWXjAOcIj10J2YbNh81UZG5w,Unlocked,64 GB,,Gray
17,Apple iPhone 6,apple iphone 6 16gb silver unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-16gb-silver-unlocked-all-carriers-certified-pre-owned/-/A-51242636&sa=D&ust=1473936289658000&usg=AFQjCNHyFuhPG6G51z5FmWpxv8AaDo2P0w,Unlocked,16 GB,,Silver
17,Apple iPhone 6,apple iphone 6 16gb gray unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-16gb-gray-unlocked-all-carriers-certified-pre-owned/-/A-51242634&sa=D&ust=1473936289659000&usg=AFQjCNG-Z9JTyhTcY69kSmfOvMTybxXepw,Unlocked,16 GB,,Gray
17,Apple iPhone 6,apple iphone 6 16gb gold unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-16gb-gold-unlocked-all-carriers-certified-pre-owned/-/A-51242632&sa=D&ust=1473936289661000&usg=AFQjCNGK_ZPoGzC1mXlW8gFwC9A204rGSw,Unlocked,16 GB,,Gold
18,Apple iPhone 6 Plus,apple iphone 6 plus 128gb gray unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-plus-128gb-gray-unlocked-all-carriers-certified-pre-owned/-/A-51243107&sa=D&ust=1473936289651000&usg=AFQjCNGIZHoSbP_gYl8mDwIQUedvtJRYEQ,Unlocked,128 GB,,Gray
18,Apple iPhone 6 Plus,apple iphone 6 plus 16gb gray unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-plus-16gb-gray-unlocked-all-carriers-certified-pre-owned/-/A-51243052&sa=D&ust=1473936289652000&usg=AFQjCNETOHuQsgH_rOCDJx4HCSX3U2pENg,Unlocked,16 GB,,Gray
18,Apple iPhone 6 Plus,apple iphone 6 plus 64gb gold unlocked all carriers certified pre owned,http://www.target.com/p/apple-iphone-6-plus-64gb-gold-unlocked-all-carriers-certified-pre-owned/-/A-51243038&sa=D&ust=1473936289657000&usg=AFQjCNETt0AwfB-TMVhvvSTVs6uCk4aw-A,Unlocked,64 GB,,Gold
38,BlackBerry Passport,blackberry passport 10 3 os factory unlocked cell phone for gsm compatible,http://www.target.com/p/blackberry-passport-10-3-os-factory-unlocked-cell-phone-for-gsm-compatible/-/A-16672481&sa=D&ust=1473936289704000&usg=AFQjCNEREF3x-E0FIEVA3MBUAHE9zu_KJg,Unlocked,32 GB,,
550,Samsung Galaxy Note 4,unlocked samsung galaxy note 4 32g cell phone white,http://www.target.com/p/unlocked-samsung-galaxy-note-4-32g-cell-phone-white/-/A-51237142&sa=D&ust=1473936289668000&usg=AFQjCNEX_EIP3SGdoNmInf_ESq7nuMgqXQ,Unlocked,32 GB,,White
550,Samsung Galaxy Note 4,unlocked samsung galaxy note 4 32g cell phone black,http://www.target.com/p/unlocked-samsung-galaxy-note-4-32g-cell-phone-black/-/A-51232801&sa=D&ust=1473936289668000&usg=AFQjCNENXAPLGUqM4Jf861fc6KNZSTFHjg,Unlocked,32 GB,,Black
550,Samsung Galaxy Note 4,samsung galaxy note 4 n910c 32gb 4g lte unlocked gsm octa core phone black,http://www.target.com/p/samsung-galaxy-note-4-n910c-32gb-4g-lte-unlocked-gsm-octa-core-phone-black/-/A-18791856&sa=D&ust=1473936289696000&usg=AFQjCNHYSqa3pIhp1NSEnWuJPNVPqZkZmA,Unlocked,32 GB,,Black
550,Samsung Galaxy Note 4,samsung galaxy note 4 n910c 32gb 4g lte unlocked gsm octa core phone white,http://www.target.com/p/samsung-galaxy-note-4-n910c-32gb-4g-lte-unlocked-gsm-octa-core-phone-white/-/A-18791854&sa=D&ust=1473936289696000&usg=AFQjCNEAuul304R2rQdOoD7W6ytGUJpHmQ,Unlocked,32 GB,,White
550,Samsung Galaxy Note 4,samsung galaxy note 4 n910a 32gb factory unlocked cell phone for gsm compatible black,http://www.target.com/p/samsung-galaxy-note-4-n910a-32gb-factory-unlocked-cell-phone-for-gsm-compatible-black/-/A-17055692&sa=D&ust=1473936289701000&usg=AFQjCNE308gAHjw0e67WcEaH3cCyjDBJ8Q,Unlocked,32 GB,,Black
550,Samsung Galaxy Note 4,samsung galaxy note 4 n910h 4g hspa factory unlocked cell phone for gsm compatible,http://www.target.com/p/samsung-galaxy-note-4-n910h-4g-hspa-factory-unlocked-cell-phone-for-gsm-compatible/-/A-16672428&sa=D&ust=1473936289704000&usg=AFQjCNG1CVcofPJwChfC0zhWhbli-OYjdg,Unlocked,,,
562,Samsung Galaxy S4 I9500,unlocked samsung galaxy s 4 16gb cell phone white,http://www.target.com/p/unlocked-samsung-galaxy-s-4-16gb-cell-phone-white/-/A-51237202&sa=D&ust=1473936289667000&usg=AFQjCNHuIBrbimMqRzF0EywwPe4YCFm3Ow,Unlocked,16 GB,,White
562,Samsung Galaxy S4 I9500,samsung galaxy s4 i337 16gb 4g lte unlocked gsm cell phone,http://www.target.com/p/samsung-galaxy-s4-i337-16gb-4g-lte-unlocked-gsm-cell-phone/-/A-16792634&sa=D&ust=1473936289703000&usg=AFQjCNHQsvSFWGotW_Q2gnbYQ8pAlrhB1g,Unlocked,16 GB,,
565,Samsung Galaxy S5,samsung galaxy s5 g900a 16gb white unlocked gsm carriers certified pre owned,http://www.target.com/p/samsung-galaxy-s5-g900a-16gb-white-unlocked-gsm-carriers-certified-pre-owned/-/A-51243193&sa=D&ust=1473936289649000&usg=AFQjCNGQfj4R3jDmC5uDm_WWsFBKnoatmw,Unlocked,16 GB,,White
